"","location_name","wk_end_date","value"
"731","Oregon",2022-10-29,5
"732","Oregon",2022-11-05,46
"733","Oregon",2022-11-12,45
"734","Oregon",2022-11-19,129
"735","Oregon",2022-11-26,406
"736","Oregon",2022-12-03,546
"737","Oregon",2022-12-10,698
"738","Oregon",2022-12-17,622
"739","Oregon",2022-12-24,422
"740","Oregon",2022-12-31,305
"741","Oregon",2023-01-07,130
"742","Pennsylvania",2022-09-03,40
"743","Pennsylvania",2022-09-10,35
"744","Pennsylvania",2022-09-17,29
"745","Pennsylvania",2022-09-24,35
"746","Pennsylvania",2022-10-01,53
"747","Pennsylvania",2022-10-08,59
"748","Pennsylvania",2022-10-15,76
"749","Pennsylvania",2022-10-22,97
"750","Pennsylvania",2022-10-29,179
"751","Pennsylvania",2022-11-05,238
"752","Pennsylvania",2022-11-12,366
"753","Pennsylvania",2022-11-19,438
"754","Pennsylvania",2022-11-26,825
"755","Pennsylvania",2022-12-03,1330
"756","Pennsylvania",2022-12-10,1180
"757","Pennsylvania",2022-12-17,1019
"758","Pennsylvania",2022-12-24,1004
"759","Pennsylvania",2022-12-31,1035
"760","Pennsylvania",2023-01-07,757
"761","Puerto Rico",2022-09-03,29
"762","Puerto Rico",2022-09-10,39
"763","Puerto Rico",2022-09-17,49
"764","Puerto Rico",2022-09-24,50
"765","Puerto Rico",2022-10-01,41
"766","Puerto Rico",2022-10-08,41
"767","Puerto Rico",2022-10-15,56
"768","Puerto Rico",2022-10-22,54
"769","Puerto Rico",2022-10-29,76
"770","Puerto Rico",2022-11-05,106
"771","Puerto Rico",2022-11-12,97
"772","Puerto Rico",2022-11-19,91
"773","Puerto Rico",2022-11-26,97
"774","Puerto Rico",2022-12-03,87
"775","Puerto Rico",2022-12-10,88
"776","Puerto Rico",2022-12-17,86
"777","Puerto Rico",2022-12-24,107
"778","Puerto Rico",2022-12-31,58
"779","Puerto Rico",2023-01-07,48
"780","Rhode Island",2022-09-03,0
"781","Rhode Island",2022-09-10,0
"782","Rhode Island",2022-09-17,0
"783","Rhode Island",2022-09-24,0
"784","Rhode Island",2022-10-01,1
"785","Rhode Island",2022-10-08,1
"786","Rhode Island",2022-10-15,0
"787","Rhode Island",2022-10-22,2
"788","Rhode Island",2022-10-29,0
"789","Rhode Island",2022-11-05,3
"790","Rhode Island",2022-11-12,6
"791","Rhode Island",2022-11-19,3
"792","Rhode Island",2022-11-26,16
"793","Rhode Island",2022-12-03,26
"794","Rhode Island",2022-12-10,50
"795","Rhode Island",2022-12-17,47
"796","Rhode Island",2022-12-24,62
