"","report_date","state","value","location_name","final_value","truth_date","final_perc_change","absolutediff","season"
"286",2022-03-05,"MD",28,"Maryland",21,2022-09-12,-0.25,-7,"A) 2021-2022"
"287",2022-03-05,"MA",21,"Massachusetts",14,2022-09-12,-0.333333333333333,-7,"A) 2021-2022"
"288",2022-03-05,"MI",80,"Michigan",82,2022-09-12,0.025,2,"A) 2021-2022"
"289",2022-03-05,"MN",25,"Minnesota",31,2022-09-12,0.24,6,"A) 2021-2022"
"290",2022-03-05,"MS",30,"Mississippi",34,2022-09-12,0.133333333333333,4,"A) 2021-2022"
"291",2022-03-05,"MO",82,"Missouri",77,2022-09-12,-0.0609756097560976,-5,"A) 2021-2022"
"292",2022-03-05,"MT",20,"Montana",19,2022-09-12,-0.05,-1,"A) 2021-2022"
"293",2022-03-05,"NE",59,"Nebraska",60,2022-09-12,0.0169491525423729,1,"A) 2021-2022"
"294",2022-03-05,"NV",25,"Nevada",21,2022-09-12,-0.16,-4,"A) 2021-2022"
"295",2022-03-05,"NH",3,"New Hampshire",3,2022-09-12,0,0,"A) 2021-2022"
"296",2022-03-05,"NJ",41,"New Jersey",41,2022-09-12,0,0,"A) 2021-2022"
"297",2022-03-05,"NM",6,"New Mexico",6,2022-09-12,0,0,"A) 2021-2022"
"298",2022-03-05,"NY",55,"New York",56,2022-09-12,0.0181818181818182,1,"A) 2021-2022"
"299",2022-03-05,"NC",51,"North Carolina",54,2022-09-12,0.0588235294117647,3,"A) 2021-2022"
"300",2022-03-05,"ND",2,"North Dakota",2,2022-09-12,0,0,"A) 2021-2022"
"301",2022-03-05,"OH",59,"Ohio",50,2022-09-12,-0.152542372881356,-9,"A) 2021-2022"
"302",2022-03-05,"OK",104,"Oklahoma",95,2022-09-12,-0.0865384615384615,-9,"A) 2021-2022"
"303",2022-03-05,"OR",2,"Oregon",2,2022-09-12,0,0,"A) 2021-2022"
"304",2022-03-05,"PA",72,"Pennsylvania",77,2022-09-12,0.0694444444444444,5,"A) 2021-2022"
"305",2022-03-05,"PR",9,"Puerto Rico",11,2022-09-12,0.222222222222222,2,"A) 2021-2022"
"306",2022-03-05,"RI",1,"Rhode Island",2,2022-09-12,1,1,"A) 2021-2022"
"307",2022-03-05,"SC",21,"South Carolina",23,2022-09-12,0.0952380952380952,2,"A) 2021-2022"
